#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2DE67
#Date Time: 2026-08-01 21:14:50.976
#Sample rate: 57670.1Hz
#Samples: 4096

Time (s),UART
-0.0244494,X
-0.024432060000000002,X
-0.02441472,X
-0.02439738,X
-0.024380040000000002,X
-0.0243627,X
-0.02434536,X
-0.024328020000000002,§ Framing Error
-0.02431068,§ Framing Error
-0.02429334,§ Framing Error
-0.024276000000000002,§ Framing Error
-0.02425866,§ Framing Error
-0.02424132,§ Framing Error
-0.02422398,§ Framing Error
-0.02420664,§ Framing Error
-0.0241893,§ Framing Error
-0.02417196,§ Framing Error
-0.02415462,§ Framing Error
-0.02413728,§ Framing Error
-0.02411994,§ Framing Error
-0.024102600000000002,§ Framing Error
-0.02408526,§ Framing Error
-0.02406792,§ Framing Error
-0.024050580000000002,§ Framing Error
-0.02403324,§ Framing Error
-0.0240159,§ Framing Error
-0.023998560000000002,§ Framing Error
-0.02398122,§ Framing Error
-0.02396388,§ Framing Error
-0.023946540000000002,§ Framing Error
-0.0239292,§ Framing Error
-0.02391186,§ Framing Error
-0.023894520000000002,§ Framing Error
-0.02387718,§ Framing Error
-0.02385984,§ Framing Error
-0.0238425,§ Framing Error
-0.02382516,§ Framing Error
-0.02380782,§ Framing Error
-0.02379048,§ Framing Error
-0.02377314,§ Framing Error
-0.0237558,§ Framing Error
-0.02373846,§ Framing Error
-0.023721120000000002,§ Framing Error
-0.02370378,§ Framing Error
-0.02368644,§ Framing Error
-0.023669100000000002,§ Framing Error
-0.02365176,§ Framing Error
-0.02363442,§ Framing Error
-0.023617080000000002,§ Framing Error
-0.02359974,§ Framing Error
-0.0235824,§ Framing Error
-0.023565060000000002,§ Framing Error
-0.02354772,§ Framing Error
-0.02353038,§ Framing Error
-0.023513040000000002,§ Framing Error
-0.0234957,§ Framing Error
-0.02347836,§ Framing Error
-0.02346102,§ Framing Error
-0.02344368,§ Framing Error
-0.02342634,§ Framing Error
-0.023409,§ Framing Error
-0.02339166,§ Framing Error
-0.02337432,§ Framing Error
-0.02335698,§ Framing Error
-0.023339640000000002,§ Framing Error
-0.0233223,§ Framing Error
-0.02330496,X
-0.023287620000000002,X
-0.02327028,X
-0.02325294,X
-0.023235600000000002,X
-0.02321826,X
-0.02320092,X
-0.023183580000000002,X
-0.02316624,X
-0.0231489,X
-0.023131560000000002,X
-0.02311422,X
-0.02309688,X
-0.02307954,X
-0.0230622,TAB
-0.02304486,TAB
-0.02302752,TAB
-0.02301018,TAB
-0.02299284,TAB
-0.0229755,TAB
-0.022958160000000002,TAB
-0.02294082,TAB
-0.02292348,TAB
-0.022906140000000002,TAB
-0.0228888,TAB
-0.02287146,TAB
-0.022854120000000002,TAB
-0.02283678,TAB
-0.02281944,TAB
-0.022802100000000002,TAB
-0.02278476,TAB
-0.02276742,TAB
-0.022750080000000002,TAB
-0.02273274,TAB
-0.0227154,TAB
-0.02269806,TAB
-0.02268072,TAB
-0.02266338,TAB
-0.02264604,TAB
-0.0226287,TAB
-0.02261136,TAB
-0.02259402,TAB
-0.022576680000000002,TAB
-0.02255934,TAB
-0.022542,TAB
-0.022524660000000002,TAB
-0.02250732,TAB
-0.02248998,TAB
-0.022472640000000002,TAB
-0.0224553,TAB
-0.02243796,TAB
-0.022420620000000002,TAB
-0.02240328,TAB
-0.02238594,TAB
-0.022368600000000002,TAB
-0.02235126,TAB
-0.02233392,TAB
-0.02231658,TAB
-0.02229924,TAB
-0.0222819,TAB
-0.02226456,TAB
-0.02224722,TAB
-0.02222988,TAB
-0.02221254,TAB
-0.0221952,TAB
-0.02217786,TAB
-0.02216052,TAB
-0.022143180000000002,TAB
-0.02212584,TAB
-0.0221085,TAB
-0.022091160000000002,TAB
-0.02207382,TAB
-0.02205648,TAB
-0.022039140000000002,X
-0.0220218,X
-0.02200446,X
-0.021987120000000002,ª Framing Error
-0.02196978,ª Framing Error
-0.02195244,ª Framing Error
-0.0219351,ª Framing Error
-0.02191776,ª Framing Error
-0.02190042,ª Framing Error
-0.02188308,ª Framing Error
-0.02186574,ª Framing Error
-0.0218484,ª Framing Error
-0.02183106,ª Framing Error
-0.02181372,ª Framing Error
-0.02179638,ª Framing Error
-0.02177904,ª Framing Error
-0.021761700000000002,ª Framing Error
-0.02174436,ª Framing Error
-0.02172702,ª Framing Error
-0.021709680000000002,ª Framing Error
-0.02169234,ª Framing Error
-0.021675,ª Framing Error
-0.021657660000000002,ª Framing Error
-0.02164032,ª Framing Error
-0.02162298,ª Framing Error
-0.021605640000000002,ª Framing Error
-0.0215883,ª Framing Error
-0.02157096,ª Framing Error
-0.02155362,ª Framing Error
-0.02153628,ª Framing Error
-0.02151894,ª Framing Error
-0.0215016,ª Framing Error
-0.02148426,ª Framing Error
-0.02146692,ª Framing Error
-0.02144958,ª Framing Error
-0.02143224,ª Framing Error
-0.0214149,ª Framing Error
-0.02139756,ª Framing Error
-0.021380220000000002,ª Framing Error
-0.02136288,ª Framing Error
-0.02134554,ª Framing Error
-0.021328200000000002,ª Framing Error
-0.02131086,ª Framing Error
-0.02129352,ª Framing Error
-0.021276180000000002,ª Framing Error
-0.02125884,ª Framing Error
-0.0212415,ª Framing Error
-0.021224160000000002,ª Framing Error
-0.02120682,ª Framing Error
-0.02118948,ª Framing Error
-0.02117214,ª Framing Error
-0.0211548,ª Framing Error
-0.02113746,ª Framing Error
-0.02112012,ª Framing Error
-0.02110278,ª Framing Error
-0.02108544,ª Framing Error
-0.0210681,ª Framing Error
-0.02105076,ª Framing Error
-0.02103342,ª Framing Error
-0.02101608,ª Framing Error
-0.020998740000000002,ª Framing Error
-0.0209814,ª Framing Error
-0.02096406,X
-0.020946720000000002,X
-0.02092938,X
-0.02091204,X
-0.020894700000000002,X
-0.02087736,X
-0.02086002,X
-0.020842680000000002,X
-0.02082534,X
-0.020808,X
-0.02079066,X
-0.02077332,X
-0.02075598,X
-0.02073864,X
-0.0207213,X
-0.02070396,X
-0.02068662,X
-0.02066928,X
-0.02065194,X
-0.0206346,X
-0.020617260000000002,±
-0.02059992,±
-0.02058258,±
-0.020565240000000002,±
-0.0205479,±
-0.02053056,±
-0.020513220000000002,±
-0.02049588,±
-0.02047854,±
-0.020461200000000002,±
-0.02044386,±
-0.02042652,±
-0.02040918,±
-0.02039184,±
-0.0203745,±
-0.02035716,±
-0.02033982,±
-0.02032248,±
-0.02030514,±
-0.0202878,±
-0.02027046,±
-0.02025312,±
-0.020235780000000002,±
-0.02021844,±
-0.0202011,±
-0.020183760000000002,±
-0.02016642,±
-0.02014908,±
-0.020131740000000002,±
-0.0201144,±
-0.02009706,±
-0.020079720000000002,±
-0.02006238,±
-0.02004504,±
-0.0200277,±
-0.02001036,±
-0.01999302,±
-0.01997568,±
-0.01995834,±
-0.019941,±
-0.01992366,±
-0.01990632,±
-0.01988898,±
-0.01987164,±
-0.019854300000000002,±
-0.01983696,±
-0.01981962,±
-0.019802280000000002,±
-0.01978494,±
-0.0197676,±
-0.019750260000000002,±
-0.01973292,±
-0.01971558,±
-0.019698240000000002,±
-0.0196809,±
-0.01966356,±
-0.01964622,±
-0.01962888,±
-0.01961154,±
-0.0195942,X
-0.01957686,X
-0.01955952,±
-0.01954218,±
-0.01952484,±
-0.0195075,±
-0.01949016,±
-0.019472820000000002,±
-0.01945548,±
-0.01943814,±
-0.019420800000000002,±
-0.01940346,±
-0.01938612,±
-0.019368780000000002,±
-0.01935144,±
-0.0193341,±
-0.019316760000000002,±
-0.01929942,±
-0.01928208,±
-0.01926474,±
-0.0192474,±
-0.01923006,±
-0.01921272,±
-0.01919538,±
-0.01917804,±
-0.0191607,±
-0.01914336,±
-0.01912602,±
-0.01910868,±
-0.019091340000000002,±
-0.019074,±
-0.01905666,±
-0.019039320000000002,±
-0.01902198,±
-0.01900464,±
-0.018987300000000002,±
-0.01896996,±
-0.01895262,±
-0.018935280000000002,±
-0.01891794,±
-0.0189006,±
-0.01888326,±
-0.01886592,±
-0.01884858,±
-0.01883124,±
-0.0188139,±
-0.01879656,±
-0.01877922,±
-0.01876188,±
-0.01874454,±
-0.0187272,±
-0.018709860000000002,±
-0.01869252,±
-0.01867518,±
-0.018657840000000002,±
-0.0186405,±
-0.01862316,±
-0.018605820000000002,±
-0.01858848,±
-0.01857114,±
-0.018553800000000002,±
-0.01853646,X
-0.01851912,X
-0.01850178,½
-0.01848444,½
-0.0184671,½
-0.01844976,½
-0.01843242,½
-0.01841508,½
-0.01839774,½
-0.0183804,½
-0.01836306,½
-0.01834572,½
-0.018328380000000002,½
-0.01831104,½
-0.0182937,½
-0.018276360000000002,½
-0.01825902,½
-0.01824168,½
-0.018224340000000002,½
-0.018207,½
-0.01818966,½
-0.018172320000000002,½
-0.01815498,½
-0.01813764,½
-0.0181203,½
-0.01810296,½
-0.01808562,½
-0.01806828,½
-0.01805094,½
-0.0180336,½
-0.01801626,½
-0.01799892,½
-0.01798158,½
-0.01796424,½
-0.017946900000000002,½
-0.01792956,½
-0.01791222,½
-0.017894880000000002,½
-0.01787754,½
-0.0178602,½
-0.017842860000000002,½
-0.01782552,½
-0.01780818,½
-0.017790840000000002,½
-0.0177735,½
-0.01775616,½
-0.01773882,½
-0.01772148,½
-0.01770414,½
-0.0176868,½
-0.01766946,½
-0.01765212,½
-0.01763478,½
-0.01761744,½
-0.0176001,½
-0.01758276,½
-0.01756542,½
-0.01754808,½
-0.01753074,½
-0.017513400000000002,½
-0.01749606,½
-0.01747872,X
-0.017461380000000002,X
-0.01744404,h81 Framing Error
-0.0174267,h81 Framing Error
-0.017409360000000002,h81 Framing Error
-0.01739202,h81 Framing Error
-0.01737468,h81 Framing Error
-0.01735734,h81 Framing Error
-0.01734,h81 Framing Error
-0.01732266,h81 Framing Error
-0.01730532,h81 Framing Error
-0.01728798,h81 Framing Error
-0.01727064,h81 Framing Error
-0.0172533,h81 Framing Error
-0.01723596,h81 Framing Error
-0.01721862,h81 Framing Error
-0.01720128,h81 Framing Error
-0.01718394,h81 Framing Error
-0.0171666,h81 Framing Error
-0.01714926,h81 Framing Error
-0.017131920000000002,h81 Framing Error
-0.01711458,h81 Framing Error
-0.01709724,h81 Framing Error
-0.017079900000000002,h81 Framing Error
-0.01706256,h81 Framing Error
-0.01704522,h81 Framing Error
-0.017027880000000002,h81 Framing Error
-0.01701054,h81 Framing Error
-0.0169932,h81 Framing Error
-0.01697586,h81 Framing Error
-0.01695852,h81 Framing Error
-0.01694118,h81 Framing Error
-0.01692384,h81 Framing Error
-0.0169065,h81 Framing Error
-0.01688916,h81 Framing Error
-0.01687182,h81 Framing Error
-0.01685448,h81 Framing Error
-0.01683714,h81 Framing Error
-0.0168198,h81 Framing Error
-0.01680246,h81 Framing Error
-0.01678512,h81 Framing Error
-0.01676778,h81 Framing Error
-0.016750440000000002,h81 Framing Error
-0.0167331,h81 Framing Error
-0.01671576,h81 Framing Error
-0.016698420000000002,h81 Framing Error
-0.01668108,h81 Framing Error
-0.01666374,h81 Framing Error
-0.016646400000000002,h81 Framing Error
-0.01662906,h81 Framing Error
-0.01661172,h81 Framing Error
-0.01659438,h81 Framing Error
-0.01657704,h81 Framing Error
-0.0165597,h81 Framing Error
-0.01654236,h81 Framing Error
-0.01652502,h81 Framing Error
-0.01650768,h81 Framing Error
-0.01649034,h81 Framing Error
-0.016473,h81 Framing Error
-0.01645566,h81 Framing Error
-0.01643832,h81 Framing Error
-0.01642098,X
-0.01640364,X
-0.0163863,X
-0.016368960000000002,X
-0.01635162,X
-0.01633428,X
-0.016316940000000002,X
-0.0162996,X
-0.01628226,X
-0.016264920000000002,X
-0.01624758,X
-0.01623024,X
-0.0162129,X
-0.01619556,X
-0.01617822,X
-0.01616088,W
-0.01614354,W
-0.0161262,W
-0.01610886,W
-0.01609152,W
-0.01607418,W
-0.01605684,W
-0.0160395,W
-0.01602216,W
-0.01600482,W
-0.015987480000000002,W
-0.01597014,W
-0.0159528,W
-0.015935460000000002,W
-0.01591812,W
-0.01590078,W
-0.015883440000000002,W
-0.0158661,W
-0.01584876,W
-0.01583142,W
-0.01581408,W
-0.01579674,W
-0.0157794,W
-0.01576206,W
-0.01574472,W
-0.01572738,W
-0.01571004,W
-0.0156927,W
-0.01567536,W
-0.01565802,W
-0.01564068,W
-0.015623340000000001,W
-0.015606,W
-0.01558866,W
-0.01557132,W
-0.01555398,W
-0.01553664,W
-0.0155193,W
-0.01550196,W
-0.015484620000000001,W
-0.01546728,W
-0.01544994,W
-0.015432600000000001,W
-0.01541526,W
-0.01539792,W
-0.01538058,W
-0.01536324,W
-0.0153459,W
-0.01532856,W
-0.01531122,W
-0.015293880000000001,W
-0.01527654,W
-0.0152592,W
-0.015241860000000001,W
-0.01522452,W
-0.01520718,W
-0.01518984,W
-0.0151725,W
-0.01515516,W
-0.01513782,X
-0.01512048,X
-0.015103140000000001,o
-0.0150858,o
-0.01506846,o
-0.015051120000000001,o
-0.01503378,o
-0.01501644,o
-0.0149991,o
-0.01498176,o
-0.01496442,o
-0.01494708,o
-0.01492974,o
-0.014912400000000001,o
-0.01489506,o
-0.01487772,o
-0.014860380000000001,o
-0.01484304,o
-0.0148257,o
-0.01480836,o
-0.01479102,o
-0.01477368,o
-0.01475634,o
-0.014739,o
-0.014721660000000001,o
-0.01470432,o
-0.01468698,o
-0.014669640000000001,o
-0.0146523,o
-0.01463496,o
-0.01461762,o
-0.01460028,o
-0.01458294,o
-0.0145656,o
-0.01454826,o
-0.014530920000000001,o
-0.01451358,o
-0.01449624,o
-0.014478900000000001,o
-0.01446156,o
-0.01444422,o
-0.01442688,o
-0.01440954,o
-0.0143922,o
-0.01437486,o
-0.01435752,o
-0.014340180000000001,o
-0.01432284,o
-0.0143055,o
-0.014288160000000001,o
-0.01427082,o
-0.01425348,o
-0.01423614,o
-0.0142188,o
-0.01420146,o
-0.01418412,o
-0.01416678,o
-0.014149440000000001,o
-0.0141321,o
-0.01411476,o
-0.014097420000000001,o
-0.01408008,X
-0.01406274,X
-0.0140454,r
-0.01402806,r
-0.01401072,r
-0.01399338,r
-0.01397604,r
-0.013958700000000001,r
-0.01394136,r
-0.01392402,r
-0.013906680000000001,r
-0.01388934,r
-0.013872,r
-0.013854660000000001,r
-0.01383732,r
-0.01381998,r
-0.01380264,r
-0.0137853,r
-0.013767960000000001,r
-0.01375062,r
-0.01373328,r
-0.013715940000000001,r
-0.0136986,r
-0.01368126,r
-0.013663920000000001,r
-0.01364658,r
-0.01362924,r
-0.0136119,r
-0.01359456,r
-0.013577220000000001,r
-0.01355988,r
-0.01354254,r
-0.013525200000000001,r
-0.01350786,r
-0.01349052,r
-0.013473180000000001,r
-0.01345584,r
-0.0134385,r
-0.01342116,r
-0.01340382,r
-0.013386480000000001,r
-0.01336914,r
-0.0133518,r
-0.013334460000000001,r
-0.01331712,r
-0.01329978,r
-0.013282440000000001,r
-0.0132651,r
-0.01324776,r
-0.01323042,r
-0.01321308,r
-0.013195740000000001,r
-0.0131784,r
-0.01316106,r
-0.013143720000000001,r
-0.01312638,r
-0.01310904,r
-0.013091700000000001,r
-0.01307436,r
-0.01305702,r
-0.01303968,r
-0.01302234,X
-0.013005000000000001,X
-0.01298766,l
-0.01297032,l
-0.012952980000000001,l
-0.01293564,l
-0.0129183,l
-0.012900960000000001,l
-0.01288362,l
-0.01286628,l
-0.01284894,l
-0.0128316,l
-0.012814260000000001,l
-0.01279692,l
-0.01277958,l
-0.012762240000000001,l
-0.0127449,l
-0.01272756,l
-0.012710220000000001,l
-0.01269288,l
-0.01267554,l
-0.0126582,l
-0.01264086,l
-0.012623520000000001,l
-0.01260618,l
-0.01258884,l
-0.012571500000000001,l
-0.01255416,l
-0.01253682,l
-0.012519480000000001,l
-0.01250214,l
-0.0124848,l
-0.01246746,l
-0.01245012,l
-0.012432780000000001,l
-0.01241544,l
-0.0123981,l
-0.012380760000000001,l
-0.01236342,l
-0.01234608,l
-0.012328740000000001,l
-0.0123114,l
-0.01229406,l
-0.01227672,l
-0.01225938,l
-0.012242040000000001,l
-0.0122247,l
-0.01220736,l
-0.012190020000000001,l
-0.01217268,l
-0.01215534,l
-0.012138000000000001,l
-0.01212066,l
-0.01210332,l
-0.01208598,l
-0.01206864,l
-0.012051300000000001,l
-0.01203396,l
-0.01201662,l
-0.011999280000000001,l
-0.01198194,l
-0.0119646,X
-0.011947260000000001,X
-0.01192992,d
-0.01191258,d
-0.01189524,d
-0.0118779,d
-0.011860560000000001,d
-0.01184322,d
-0.01182588,d
-0.011808540000000001,d
-0.0117912,d
-0.01177386,d
-0.011756520000000001,d
-0.01173918,d
-0.01172184,d
-0.0117045,d
-0.01168716,d
-0.011669820000000001,d
-0.01165248,d
-0.01163514,d
-0.011617800000000001,d
-0.01160046,d
-0.01158312,d
-0.011565780000000001,d
-0.01154844,d
-0.0115311,d
-0.01151376,d
-0.01149642,d
